Menu Item,Calories (kcal),Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g)
Chicken,200,10,2.5,0,60,440,11,0,1,12
JFC - Burger Steak,300,16,7,0,50,860,21,1,6,13
Jolly Hotdog,400,20,8,0,60,930,41,2,8,14
JFC - Jolly Spaghetti,410,13,4.5,0,45,770,64,2,22,16
Spaghetti (Value Meal),600,22,8,0,60,970,86,4,28,26
JFC - Chessy Classic Jolly Hotdog,440,22,10,0,70,1040,42,3,9,16
Palabok Fiesta,500,20,7,0,55,850,65,2,9,16
Halo-Halo,280,5,3,0,20,130,53,2,33,6
Fries,320,16,2.5,0,0,290,41,4,1,4
GADC - Fries,320,16,2.5,0,0,290,41,4,1,4
Burger (Cheeseburger),340,16,7,0,30,650,34,1,7,14
Burger (Regular),310,15,6,0,30,630,30,1,6,13
GADC - Burger Steak,320,16,,,,,58,,,
GADC - Cheeseburger,301,12,8,0,40,695,33,2,8,15
GADC - Crispy Chicken Fillet Meal,332,6,4,,13,336,56,2,1,13
GADC - Crispy Chicken Sandwich,321,11,2,0,17,618,41,2,5,13
GADC - McNuggets,261,13,1.5,0,,,21,1.4,0.6,15
JFC - Jolly Spaghetti - Pan,1830,68,23,0,175,4020,227,13,54,68
